Name,Email
Amit Kumar,amit.kumar@example.com
Neha Gupta,neha.gupta@example.com
Rohan Das,rohan.das@example.com
Sneha Patel,sneha.patel@example.com
Vikram Singh,vikram.singh@example.com
Pooja Sharma,pooja.sharma@example.com
Karan Verma,karan.verma@example.com
Anjali Desai,anjali.desai@example.com
Rahul Joshi,rahul.joshi@example.com
Ritu Yadav,ritu.yadav@example.com
Saurabh Mishra,saurabh.mishra@example.com
Kavita Reddy,kavita.reddy@example.com
Akash Nair,akash.nair@example.com
Meera Iyer,meera.iyer@example.com
Sanjay Kapoor,sanjay.kapoor@example.com
Divya Bhatia,divya.bhatia@example.com
Manish Tiwari,manish.tiwari@example.com
Swati Chauhan,swati.chauhan@example.com
Tarun Agarwal,tarun.agarwal@example.com
Aarti Menon,aarti.menon@example.com
